@relation fact_checker

@attribute name_feature string
@attribute avg_page_rank_confirming numeric
@attribute avg_page_rank_non_confirming numeric
@attribute total_hit_count numeric
@attribute avg_topic_coverage_confirming numeric
@attribute avg_topic_coverage_non_confirming numeric
@attribute avg_topic_majority_web_confirming numeric
@attribute avg_topic_majority_web_non_confirming numeric
@attribute avg_topic_majority_search_confirming numeric
@attribute avg_topic_majority_search_non_confirming numeric
@attribute number_of_confirming_facts numeric
@attribute number_of_confirming_sites numeric
@attribute number_of_possibly_confirming_facts numeric
@attribute number_of_possibly_confirming_sites numeric
@attribute max_number_of_possible_confirming_fact numeric
@attribute total_evidence_score numeric
@attribute class {true,false}

@data
district_7.ttl,0,0,48,0.375,0.417969,0,0,1.294118,15.235294,1,1,2,2,1,1.2,true
order_4.ttl,0,0,5,0,0,0,0,0,0,0,0,1,1,1,0.1,true
genre_6.ttl,2.333333,0,194,0.333333,0.424242,0,0,1.194444,14.361111,0,0,20,3,2,2.3,true
phylum_2.ttl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
nationality_5.ttl,1.5,0,614,0,0,570,614,0,0,0,0,4,4,2,0.7,true
producer_2.ttl,1.833333,0,107414,0.771429,0.656716,91500,91514,2.432432,25.405405,5,2,7,7,2,4.1,true
music_composer_8.ttl,0,0,21,0,0,0,0,0,0,0,0,1,1,1,0.2,true
record_label_0.ttl,2,0,23,0.733333,0.573333,10,15,0.416667,1.916667,0,0,2,2,2,0.2,true
owner_2.ttl,2.333333,0,238,0.777778,0.765079,0,0,1.195122,7.390244,2,1,25,6,7,2.9,true
birth_place_8.ttl,1,0,7,0,0,0,0,0,0,0,0,1,1,1,0.3,true
award_2.ttl,0,0,759,0.8125,0.797379,605,641,0.609375,23.109375,0,0,2,2,2,0.4,true
district_0.ttl,0.944444,0,64254,0.95,0.789286,62488,62900,2.6,9.4,11,5,29,19,7,13.6,true
manager_club_6.ttl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
phylum_0.ttl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
director_0.ttl,1.777778,0,80178,0.833333,0.620168,26423,26443,7.563107,33.038835,11,4,24,16,11,14.6,true
subsequent_work_8.ttl,0.625,0,207732,0.42437,0.369748,60,60,17.492647,51.786765,5,5,42,32,11,11.4,true
owner_3.ttl,0,0,25,0,0.906863,0,19,0,0.833333,0,0,0,0,0,0,true
product_6.ttl,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,true
alma_mater_2.ttl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
branch_0.ttl,1.166667,0,50524,1,0.78869,44822,45015,3.5,20.71875,0,0,12,8,7,1.8,true
former_team_3.ttl,0,0,507,0.4,0.602273,4,494,0.133333,8.355556,0,0,1,1,1,0.1,true
musical_artist_9.ttl,1,0,191509,0.603175,0.561942,311315,311315,6.361111,23.157407,6,2,40,21,45,12.2,true
time_zone_5.ttl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
distributor_8.ttl,1.888889,0,133808,0.725,0.56681,43662,43683,2.642857,21.944444,2,1,10,10,13,3.7,true
battle_4.ttl,0,0,24,0,0,0,15,0,0,0,0,0,0,0,0,true
state_9.ttl,1.375,0,24241,0.882813,0.740942,20259,20617,3.658824,14.694118,13,5,36,15,13,17.6,true
district_2.ttl,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,true
order_9.ttl,4,0,226,0.666667,0.498551,6,8,0.166667,2.5,0,0,1,1,1,0.1,true
genus_6.ttl,1.625,0,434,0.627273,0.412121,3,10,1.575,3.675,2,1,13,10,2,3.9,true
musical_artist_3.ttl,4,0,204013,0.8,0.637255,66000,207709,0.221154,25.048077,0,0,2,2,1,0.2,true
nationality_4.ttl,0,0,243,0,0,1,1,0,0,0,0,3,1,1,0.3,true
family_5.ttl,2.333333,0,1154,0.5,0.7,288,301,3.666667,27.5,0,0,6,4,4,0.9,true
computing_platform_8.ttl,0,0,30,1,0.888889,7,14,0.8,6.4,0,0,1,1,1,0.2,true
district_6.ttl,1.25,0,21,0.929412,0.705882,12,15,1.181818,1.545455,0,0,10,5,3,0.8,true
associated_band_0.ttl,1.666667,0,30,0.979592,0.776786,20,23,1.565217,2.434783,0,0,8,7,11,1.3,true
birth_place_1.ttl,1.333333,0,1459,0.569444,0.344729,433,645,4.883721,27.930233,0,0,13,8,5,1.7,true
musical_band_0.ttl,0,0,112107,0,0.420833,0,51,0,62.15,0,0,0,0,0,0,true
region_2.ttl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
current_member_7.ttl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
writer_4.ttl,0.5,0,131789,0.36,0.390244,584,1218,0.896552,13.37931,3,1,5,5,3,4,true
binomial_authority_7.ttl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
previous_work_8.ttl,1.307692,0,2194660,0.765306,0.491694,255700,256282,2.300699,20.216783,4,3,17,14,3,6.7,true
order_0.ttl,0,0,21,0.5,0.5,2,4,0.4,1.2,0,0,1,1,1,0.1,true
division_9.ttl,1.5,0,600,0.833333,0.69697,13,181,0.804348,16.065217,1,1,4,2,1,0.4,true
genus_0.ttl,1.333333,0,20,0.606061,0.141414,1,1,0.833333,1.166667,0,0,6,3,3,0.6,true
location_2.ttl,4,0,232008,0.666667,0.563889,85400,157778,0.469136,18.123457,0,0,1,1,1,0.2,true
genre_0.ttl,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,true
associated_band_9.ttl,1,0,24,0,0,0,0,0,0,0,0,4,3,1,0.6,true
successor_1.ttl,0,0,27,0.714286,0.818182,4,9,0.307692,2.461538,0,0,2,2,21,0.4,true
order_1.ttl,4,0,26,1,0.808824,12,18,0.444444,4,0,0,1,1,1,0.1,true
record_label_3.ttl,0,0,51667,0,0.771073,0,55225,0,21.5,0,0,0,0,0,0,true
musical_band_7.ttl,1.1,0,252918,0.465909,0.452083,199827,199843,6.650407,15.154472,13,7,64,33,26,21.9,true
time_zone_8.ttl,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,true
publisher_0.ttl,0,0,27,0.493333,0.562963,0,0,3.071429,5.357143,0,0,6,5,1,1,true
nationality_8.ttl,0.5,0,50,0.571429,0.447368,4,15,0.333333,5.761905,0,0,7,2,1,1.1,true
current_member_3.ttl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
commander_4.ttl,4,0,4,0.714286,0.392857,0,0,0.666667,1.333333,0,0,1,1,1,0.1,true
artist_7.ttl,1.333333,0,596536,0.321429,0.215909,326,336,5.733813,88.553957,5,1,12,7,31,6.8,true
time_zone_3.ttl,0,0,1,0,0.55,0,0,0,0,0,0,0,0,0,0,true
record_label_4.ttl,0,0,669,0,0,440,669,0,0,0,0,4,2,3,0.4,true
city_8.ttl,1.5,0,124500,0.606061,0.505348,91270,91276,6.4,12.666667,10,5,55,33,19,18,true
record_label_9.ttl,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,true
owner_8.ttl,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,true
former_team_5.ttl,1.2,0,59913,0.805556,0.714815,47936,76644,1.06383,26.453901,0,0,6,6,2,0.8,true
artist_6.ttl,1.714286,0,150626,0.546053,0.245614,61611,125725,1.033708,2.786517,2,2,18,8,29,3.3,true
commander_6.ttl,0,0,19,0,0.972222,0,18,0,5.777778,0,0,0,0,0,0,true
division_5.ttl,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,true
ground_4.ttl,4.5,0,16,0.75,0.80625,9,13,0.428571,1.714286,0,0,4,4,1,0.5,true
residence_4.ttl,2,0,22,0.75,0.570175,0,0,0.333333,2.047619,0,0,7,2,1,0.9,true
is_part_of_3.ttl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
manager_club_5.ttl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
residence_8.ttl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
genre_9.ttl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
artist_2.ttl,0,0,27780,0,0.644444,0,28480,0,24.984127,0,0,0,0,0,0,true
branch_5.ttl,0,0,8,0,0,0,3,0,0,0,0,0,0,0,0,true
team_2.ttl,5,0,18,0.852941,0.735294,4,12,0.25,0.5,0,0,3,2,2,0.5,true
phylum_1.ttl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
genre_5.ttl,0,0,29,0,0,0,0,0,0,0,0,1,1,1,0.1,true
product_1.ttl,0.833333,0,31,0.583333,0.5625,0,0,2.227273,4.772727,0,0,9,6,2,1.3,true
genus_1.ttl,1.5,0,12,0.857143,0.553571,5,3,0.333333,0.666667,0,0,2,2,4,0.5,true
previous_work_3.ttl,1.263158,0,1858,0.525,0.485294,0,0,6.074074,9.555556,15,6,25,18,15,18.6,true
country_8.ttl,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,true
musical_artist_5.ttl,0,0,350993,0,0.784404,0,353592,0,41.449541,0,0,0,0,0,0,true
nationality_9.ttl,0,0,316,0,0,16,314,0,0,0,0,47,1,6,0.3,true
language_6.ttl,0,0,415,0,0.665025,0,415,0,12.62069,0,0,0,0,0,0,true
genus_4.ttl,1.857143,0,160802,0.3,0.194286,199200,199201,12.527273,8.963636,1,1,85,30,40,13.7,true
ground_7.ttl,0,0,709,0,0.619608,0,610,0,13.607843,0,0,0,0,0,0,true
division_3.ttl,1.428571,0,124280,0.357143,0.14881,11,16,0.615385,3.428571,0,0,7,7,2,1,true
computing_platform_3.ttl,3.5,0,442347,0.541667,0.617521,108600,311061,0.672269,42.386555,0,0,6,2,5,0.4,true
current_member_5.ttl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
country_1.ttl,0,0,4,0,0.6,0,0,0,1,0,0,0,0,0,0,true
writer_5.ttl,0,0,659,0,0.583333,0,537,0,15.75,0,0,0,0,0,0,true
musical_artist_1.ttl,1.631579,0,475046,0.520468,0.374008,464200,464222,5.763359,18.984733,1,1,28,19,15,4.9,true
home_town_8.ttl,0,0,275880,0.842105,0.608798,173,301117,0.088889,32.459259,0,0,1,1,1,0.3,true
artist_4.ttl,1.666667,0,7844126,0.59375,0.706954,6992000,7247079,0.806452,34.225806,0,0,5,4,1,0.7,true
residence_3.ttl,1.666667,0,34241,0.638889,0.546099,229,239,1.981132,15.490566,0,0,30,6,10,4.3,true
previous_work_9.ttl,0,0,117284,0,0.59114,0,52570,0,25.925926,0,0,0,0,0,0,true
class_8.ttl,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,true
family_3.ttl,0,0,679,0,0.477273,0,11,0,2.242424,0,0,0,0,0,0,true
location_8.ttl,1.875,0,38617,0.74026,0.586081,19517,19517,3.06,9.38,40,7,15,7,14,41.8,true
writer_7.ttl,1.074074,0,244821,0.672414,0.542411,145115,174219,5.292035,11.451327,69,8,205,30,53,90.5,true
birth_place_4.ttl,1.142857,0,1033,0.714286,0.546988,580,602,1.622222,15.622222,0,0,7,7,5,1,true
industry_6.ttl,0,0,30,0,0.592592,0,1,0,5.62963,0,0,0,0,0,0,true
binomial_authority_3.ttl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
country_7.ttl,0,0,215,0.923077,0.729345,15,32,0.655172,3.62069,0,0,2,2,17,0.5,true
death_place_4.ttl,1,0,300563,0.6875,0.555825,159100,161006,1.271028,33.588785,0,0,8,4,1,0.8,true
family_8.ttl,0,0,10,0,0.653846,0,2,0,0.5,0,0,0,0,0,0,true
team_6.ttl,0,0,46,0,0,11,41,0,0,0,0,1,1,1,0.1,true
residence_2.ttl,3,0,12592,0.617647,0.478098,531,552,0.795918,10.959184,0,0,4,2,1,0.4,true
binomial_authority_0.ttl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
successor_0.ttl,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,true
kingdom_5.ttl,0,0,33,0,0.580247,0,4,0,4,0,0,0,0,0,0,true
successor_4.ttl,0,0,45,1,0.576667,2,30,0.333333,6.904762,0,0,1,1,1,0.2,true
former_team_4.ttl,0,0,24,0.7,0.763636,6,16,0.166667,2.166667,0,0,1,1,4,0.1,true
musical_band_9.ttl,0.6875,0,572878,0.677083,0.5199,383498,585876,2.413333,16.533333,5,3,49,16,24,11.7,true
recorded_in_9.ttl,1.666667,0,260660,0.795455,0.562424,93284,275955,0.376623,13.857143,6,2,9,4,2,7.4,true
location_5.ttl,0.4,0,67172,1,0.790476,34581,34905,3.447368,28.684211,0,0,8,6,9,1.1,true
location_6.ttl,0,0,42,0.222222,0.578947,4,12,0.1,1.3,0,0,1,1,1,0.1,true
owner_5.ttl,1,0,36,0.823529,0.510695,29,33,0.576923,1.653846,0,0,5,4,1,0.8,true
recorded_in_8.ttl,0,0,166,0,0,0,163,0,0,0,0,0,0,0,0,true
writer_6.ttl,0.142857,0,185062,0.767677,0.610565,200111,200329,1.39759,8.674699,1,1,14,9,18,3.2,true
artist_5.ttl,1.2,0,209274,1,0.883333,211200,211745,12.990566,63.59434,13,4,23,16,4,16.4,true
location_4.ttl,0,0,997,0,0.803704,0,598,0,9.244444,0,0,0,0,0,0,true
format_7.ttl,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,true
nationality_7.ttl,0,0,25,0,0,16,23,0,0,0,0,4,4,3,0.7,true
region_6.ttl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
subsequent_work_9.ttl,1.142857,0,61812,0.728571,0.711842,22271,63713,2.662651,25.819277,0,0,10,7,27,1.7,true
ground_3.ttl,0,0,39743,0,0.682746,0,37847,0,11.584416,0,0,0,0,0,0,true
publisher_4.ttl,2.545455,0,19670,0.636364,0.579365,14,14,3.679245,12.358491,24,6,10,8,5,25.3,true
time_zone_7.ttl,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,true
